DESTINATION_AIRPORT,DES_rate,DES_n
ABE,0.18719633,1843
ABI,0.19557466,1845
ABQ,0.19682685,15754
ABR,0.10224639,535
ABY,0.2012987,709
ACK,0.18687722,487
ACT,0.23976928,1251
ACV,0.22956418,1020
ACY,0.2600694,2959
ADK,0.11194529,76
ADQ,0.10384763,382
AEX,0.20306195,2510
AGS,0.1826261,1917
AKN,0.16562347,63
ALB,0.20950828,5864
ALO,0.22840713,478
AMA,0.1948684,3576
ANC,0.16835913,13420
APN,0.15084594,449
ASE,0.27848542,2841
ATL,0.14538096,281652
ATW,0.16742088,2296
AUS,0.19781584,33793
AVL,0.17444496,2283
AVP,0.2571729,1060
AZO,0.18143454,1351
BDL,0.21001112,14978
BET,0.10618741,731
BFL,0.18770188,2131
BGM,0.14758909,168
BGR,0.13989832,307
BHM,0.19028318,10174
BIL,0.14821367,2333
BIS,0.19658534,2807
BJI,0.0864304,544
BLI,0.11042622,512
BMI,0.2296696,2169
BNA,0.1796306,38079
BOI,0.19462161,9212
BOS,0.21916868,86629
BPT,0.29166245,754
BQK,0.17506456,704
BQN,0.27424222,1073
BRD,0.08515289,482
BRO,0.18476394,1900
BRW,0.1568366,667
BTM,0.044994086,530
BTR,0.21986957,5755
BTV,0.234454,2312
BUF,0.20664898,13538
BUR,0.15372312,15168
BWI,0.18141921,68516
BZN,0.15243593,2996
CAE,0.21010372,4191
CAK,0.18729854,4960
CDC,0.104417175,466
CDV,0.1285784,538
CEC,0.2192141,175
CHA,0.19026127,3374
CHO,0.24019985,1715
CHS,0.1791779,9338
CID,0.22156404,5598
CIU,0.16682619,482
CLD,0.13892685,626
CLE,0.19703038,28015
CLL,0.16625302,1801
CLT,0.15306644,80512
CMH,0.2039543,19439
CMI,0.21342392,1600
CMX,0.20601672,503
CNY,0.04776332,205
COD,0.15291125,580
COS,0.23618504,5572
COU,0.28025624,1021
CPR,0.12532298,1518
CRP,0.22690707,4029
CRW,0.21025805,1905
CSG,0.19794767,883
CVG,0.20122795,16224
CWA,0.22300068,1082
DAB,0.14378698,1244
DAL,0.17510097,47237
DAY,0.19480796,7001
DBQ,0.20895588,711
DCA,0.18842857,58871
DEN,0.19056106,158605
DFW,0.18979073,192712
DHN,0.18008365,1017
DIK,0.12257878,859
DLG,0.0695541,77
DLH,0.16268693,1300
DRO,0.15830208,1684
DSM,0.2248229,6633
DTW,0.16778518,87668
DVL,0.17255305,390
EAU,0.21210119,521
ECP,0.15934366,3474
EGE,0.20324297,1012
EKO,0.07102181,427
ELM,0.21960883,1650
ELP,0.21436924,9775
ERI,0.19345194,599
ESC,0.1395897,451
EUG,0.16808084,2983
EVV,0.18347532,3009
EWN,0.23007704,457
EWR,0.21498515,79682
EYW,0.1402801,1575
FAI,0.17754428,1826
FAR,0.19340888,4570
FAT,0.19496612,5831
FAY,0.16307388,1303
FCA,0.14213522,1716
FLG,0.15584902,1313
FLL,0.20849933,58449
FNT,0.18720573,3814
FSD,0.22825521,4395
FSM,0.23650141,1573
FWA,0.19268768,4172
GCC,0.122734316,809
GCK,0.20508657,520
GEG,0.15652272,7760
GFK,0.10776919,488
GGG,0.1780168,501
GJT,0.14221202,2587
GNV,0.21491879,2175
GPT,0.18287927,2997
GRB,0.17705889,3949
GRI,0.17165715,497
GRK,0.20109434,3221
GRR,0.19713719,8871
GSO,0.20644085,5530
GSP,0.194524,5176
GST,0.23134838,74
GTF,0.113386005,1627
GTR,0.1740914,754
GUC,0.26246428,421
GUM,0.31291983,270
HDN,0.19752005,566
HIB,0.10033571,715
HLN,0.10062752,1170
HNL,0.16893896,35222
HOB,0.15791595,447
HOU,0.18316889,41656
HPN,0.2359351,5917
HRL,0.16416736,2482
HSV,0.17343704,3709
HYA,0.1460074,81
HYS,0.14084563,461
IAD,0.19134274,28263
IAG,0.24271545,255
IAH,0.19149421,118823
ICT,0.21287724,6499
IDA,0.13147074,1834
ILG,0.28475434,95
ILM,0.15088636,1443
IMT,0.10528221,500
IND,0.1882902,20224
INL,0.111047,464
ISN,0.15463158,2106
ISP,0.22352087,3464
ITH,0.19155826,10
ITO,0.089860335,4729
JAC,0.18892318,2964
JAN,0.18403268,5695
JAX,0.19937387,14439
JFK,0.21855317,75727
JLN,0.2379792,521
JMS,0.17250273,622
JNU,0.1464453,3413
KOA,0.11134944,9174
KTN,0.16636616,1932
LAN,0.16873439,1389
LAR,0.13392174,456
LAS,0.17697549,108293
LAW,0.21321803,1020
LAX,0.21802452,159016
LBB,0.21586803,3657
LBE,0.26379645,1067
LCH,0.17506546,1458
LEX,0.17302512,4868
LFT,0.1841264,4242
LGA,0.2644031,79112
LGB,0.14667405,7212
LIH,0.10428716,8598
LIT,0.21590199,8441
LNK,0.20025657,2111
LRD,0.1692441,1757
LSE,0.16646662,1246
LWS,0.039973173,474
MAF,0.21425676,6261
MBS,0.19026159,1382
MCI,0.19297606,31309
MCO,0.20304666,88978
MDT,0.18295076,2646
MDW,0.17318064,65032
MEI,0.19966233,730
MEM,0.19766481,11822
MFE,0.20305455,2909
MFR,0.17249459,1967
MGM,0.22008836,2546
MHK,0.2050321,1281
MHT,0.21398157,5040
MIA,0.20324066,55878
MKE,0.18149374,24018
MKG,0.20371516,504
MLB,0.144306,1087
MLI,0.22633938,3076
MLU,0.19384834,2362
MMH,0.17164499,130
MOB,0.1958646,4007
MOT,0.17420976,1471
MQT,0.294987,230
MRY,0.1892636,2388
MSN,0.18179636,7421
MSO,0.11422352,1755
MSP,0.16310342,91681
MSY,0.18097225,31337
MTJ,0.21760511,829
MVY,0.1855411,205
MYR,0.20396842,4200
OAJ,0.20228864,918
OAK,0.17608412,33968
OGG,0.13809888,16756
OKC,0.2132059,12849
OMA,0.19102076,13506
OME,0.16742942,522
ONT,0.19867404,14651
ORD,0.21674386,226209
ORF,0.19870894,7457
ORH,0.13149953,518
OTH,0.28753656,233
OTZ,0.13457435,528
PAH,0.20326495,515
PBG,0.31604367,226
PBI,0.2235879,17775
PDX,0.15272759,37961
PHF,0.19441484,1028
PHL,0.20345743,52894
PHX,0.1599538,119763
PIA,0.17591742,3628
PIB,0.22750366,458
PIH,0.063606314,542
PIT,0.18728897,19542
PLN,0.16415624,612
PNS,0.18507852,5479
PPG,0.10876618,88
