ORIGIN_AIRPORT,ORI_rate,ORI_n
ABE,0.18285005,1849
ABI,0.16251832,1849
ABQ,0.16695778,15713
ABR,0.16026205,540
ABY,0.16266678,710
ACK,0.18959752,485
ACT,0.19050176,1249
ACV,0.22389536,1024
ACY,0.23073578,2952
ADK,0.35522893,75
ADQ,0.1262357,382
AEX,0.19229878,2506
AGS,0.19811396,1917
AKN,0.20176804,63
ALB,0.13899246,5849
ALO,0.17928636,475
AMA,0.17651467,3576
ANC,0.113713935,13415
APN,0.1404845,448
ASE,0.25908026,2843
ATL,0.16048637,282046
ATW,0.18374914,2297
AUS,0.15903293,33745
AVL,0.15992424,2267
AVP,0.17830412,1061
AZO,0.17353778,1350
BDL,0.1580114,14952
BET,0.110328995,730
BFL,0.15018462,2129
BGM,0.1626812,169
BGR,0.11272009,306
BHM,0.16606776,10143
BIL,0.08999012,2333
BIS,0.17150116,2789
BJI,0.099017315,543
BLI,0.106068686,515
BMI,0.1842875,2160
BNA,0.17958173,37978
BOI,0.15228322,9198
BOS,0.20515168,86427
BPT,0.25654882,743
BQK,0.16792655,705
BQN,0.19649066,1078
BRD,0.16915518,481
BRO,0.14437002,1890
BRW,0.1573759,671
BTM,0.033838894,534
BTR,0.22289048,5753
BTV,0.19574924,2298
BUF,0.15399237,13505
BUR,0.1346012,15134
BWI,0.22695896,68586
BZN,0.121672235,2986
CAE,0.18864588,4177
CAK,0.13569924,4945
CDC,0.09188244,467
CDV,0.16141501,536
CEC,0.23702978,173
CHA,0.1741721,3366
CHO,0.1972899,1697
CHS,0.16565649,9305
CID,0.21533668,5584
CIU,0.15717913,481
CLD,0.1446709,628
CLE,0.17184249,27946
CLL,0.13981709,1802
CLT,0.20486331,80696
CMH,0.18305719,19366
CMI,0.18769172,1593
CMX,0.13285094,505
CNY,0.03442999,205
COD,0.21410355,586
COS,0.17406985,5574
COU,0.23074731,1006
CPR,0.11572054,1516
CRP,0.18546115,4028
CRW,0.23448735,1898
CSG,0.16251025,883
CVG,0.19571187,16130
CWA,0.1798613,1085
DAB,0.10589608,1243
DAL,0.2124278,47289
DAY,0.17694736,6975
DBQ,0.16244425,711
DCA,0.18085308,58833
DEN,0.21317562,159012
DFW,0.21439742,193386
DHN,0.21170206,1018
DIK,0.108556405,862
DLG,0.110791214,77
DLH,0.19452585,1305
DRO,0.170426,1686
DSM,0.19284372,6611
DTW,0.17704555,87730
DVL,0.11379788,382
EAU,0.17643714,517
ECP,0.12281488,3471
EGE,0.19859725,1016
EKO,0.055485982,426
ELM,0.18641077,1647
ELP,0.15827839,9746
ERI,0.20088044,601
ESC,0.1009445,453
EUG,0.14715081,2982
EVV,0.1971972,2996
EWN,0.14022426,456
EWR,0.21099025,79755
EYW,0.12279114,1566
FAI,0.12722437,1833
FAR,0.17780502,4551
FAT,0.19889328,5811
FAY,0.15914017,1298
FCA,0.10360043,1715
FLG,0.13913614,1315
FLL,0.18723036,58404
FNT,0.12323951,3816
FSD,0.20877858,4371
FSM,0.18463026,1571
FWA,0.18108322,4159
GCC,0.08292732,809
GCK,0.20248477,522
GEG,0.11706945,7751
GFK,0.16846119,489
GGG,0.21489759,500
GJT,0.11319721,2575
GNV,0.1944811,2164
GPT,0.13972928,2984
GRB,0.16887544,3940
GRI,0.14931273,494
GRK,0.17142977,3216
GRR,0.15750414,8848
GSO,0.19521295,5506
GSP,0.15301037,5161
GST,0.3827786,76
GTF,0.07977227,1619
GTR,0.18725324,753
GUC,0.2093606,423
GUM,0.19912672,270
HDN,0.20059071,567
HIB,0.109710254,716
HLN,0.06662162,1162
HNL,0.10777979,35244
HOB,0.12604798,454
HOU,0.21111995,41756
HPN,0.23711938,5900
HRL,0.11163266,2477
HSV,0.14948714,3691
HYA,0.19359556,82
HYS,0.1793865,458
IAD,0.21560653,28234
IAG,0.236302,254
IAH,0.21166073,119179
ICT,0.18726845,6472
IDA,0.100241095,1833
ILG,0.35431954,95
ILM,0.13384132,1450
IMT,0.10954971,498
IND,0.16057791,20168
INL,0.12788789,455
ISN,0.14178774,2087
ISP,0.16342178,3448
ITH,0.15822491,10
ITO,0.0890931,4725
JAC,0.14339356,2970
JAN,0.18038695,5683
JAX,0.15961143,14426
JFK,0.21403374,75822
JLN,0.23072697,512
JMS,0.17075555,611
JNU,0.17277278,3405
KOA,0.1044321,9151
KTN,0.17697471,1928
LAN,0.17990589,1396
LAR,0.10429087,457
LAS,0.20085567,108136
LAW,0.18858068,1018
LAX,0.20418999,158870
LBB,0.15599422,3658
LBE,0.23939793,1065
LCH,0.14877911,1457
LEX,0.15962927,4871
LFT,0.19848195,4231
LGA,0.24371186,79376
LGB,0.16264974,7221
LIH,0.097217,8587
LIT,0.19032736,8401
LNK,0.1440802,2109
LRD,0.13586159,1752
LSE,0.172541,1242
LWS,0.0339003,474
MAF,0.17201452,6228
MBS,0.16768059,1374
MCI,0.16044277,31298
MCO,0.20464957,89009
MDT,0.1565082,2630
MDW,0.21581982,65186
MEI,0.22218062,726
MEM,0.17212287,11755
MFE,0.14793545,2912
MFR,0.15561832,1964
MGM,0.19535713,2533
MHK,0.16054617,1274
MHT,0.14722434,5025
MIA,0.22918785,55885
MKE,0.16635744,23975
MKG,0.20904142,505
MLB,0.12771937,1082
MLI,0.20199053,3068
MLU,0.17854004,2359
MMH,0.24497832,130
MOB,0.18189082,4003
MOT,0.14287885,1476
MQT,0.17639817,228
MRY,0.17938244,2398
MSN,0.16220094,7389
MSO,0.0900489,1754
MSP,0.15434119,91613
MSY,0.16507949,31327
MTJ,0.15207946,820
