RUTA,RUTA_rate,RUTA_n
ABE_ATL,0.15006167,738
ABE_DTW,0.2025524,586
ABE_ORD,0.20687477,525
ABI_DFW,0.16251832,1849
ABQ_ATL,0.07642583,644
ABQ_BWI,0.18721998,438
ABQ_CLT,0.067363024,95
ABQ_DAL,0.22074422,1279
ABQ_DEN,0.19259149,1256
ABQ_DFW,0.15931813,1466
ABQ_HOU,0.15749903,753
ABQ_IAH,0.16699965,721
ABQ_JFK,0.2458714,223
ABQ_LAS,0.15910949,1028
ABQ_LAX,0.17720708,1553
ABQ_MCI,0.17534801,258
ABQ_MCO,0.17732263,97
ABQ_MDW,0.19027175,520
ABQ_MSP,0.11462291,161
ABQ_OAK,0.1270566,647
ABQ_ORD,0.21977903,402
ABQ_PDX,0.11209664,174
ABQ_PHX,0.19997498,2109
ABQ_SAN,0.16235009,502
ABQ_SEA,0.092710845,344
ABQ_SFO,0.25171885,269
ABQ_SLC,0.045021094,774
ABR_MSP,0.16026205,540
ABY_ATL,0.16266678,710
ACK_BOS,0.16849443,115
ACK_DCA,0.21604657,39
ACK_JFK,0.19301067,331
ACT_DFW,0.19050176,1249
ACV_SFO,0.22389536,1024
ACY_ATL,0.2029395,166
ACY_BOS,0.39873374,180
ACY_DTW,0.38634393,145
ACY_FLL,0.17856653,645
ACY_MCO,0.2423198,664
ACY_MYR,0.082168676,269
ACY_ORD,0.39594254,141
ACY_PBI,0.09550201,103
ACY_RSW,0.25254923,371
ACY_TPA,0.1935651,268
ADK_ANC,0.35522893,75
ADQ_ANC,0.1262357,382
AEX_ATL,0.19540192,992
AEX_DFW,0.24398322,770
AEX_IAH,0.13448527,744
AGS_ATL,0.19821629,1916
AGS_LGA,0.17841655,1
AKN_ANC,0.20176804,63
ALB_ATL,0.14180121,761
ALB_BWI,0.1187792,1367
ALB_CLT,0.15810224,535
ALB_DEN,0.1981637,9
ALB_DTW,0.13447097,402
ALB_EWR,0.26176175,86
ALB_FLL,0.13937679,258
ALB_IAD,0.24985859,3
ALB_LAS,0.17206384,211
ALB_MCO,0.12069936,533
ALB_MDW,0.15282254,528
ALB_MSP,0.10378215,151
ALB_ORD,0.19194694,682
ALB_RSW,0.1498699,5
ALB_TPA,0.07025665,318
ALO_ORD,0.17928636,475
AMA_DAL,0.14118202,984
AMA_DEN,0.18008274,545
AMA_DFW,0.23583262,1039
AMA_IAH,0.16633168,736
AMA_LAS,0.10529708,272
ANC_ADK,0.11194529,76
ANC_ADQ,0.10384763,382
ANC_AKN,0.16562347,63
ANC_ATL,0.16319627,101
ANC_BET,0.10618741,731
ANC_BRW,0.16321616,150
ANC_CDV,0.11291982,270
ANC_DEN,0.27484873,332
ANC_DFW,0.26092517,117
ANC_DLG,0.0695541,77
ANC_EWR,0.2128425,7
ANC_FAI,0.17379023,272
ANC_HNL,0.0761663,213
ANC_IAH,0.30442324,81
ANC_JNU,0.109814696,861
ANC_KOA,0.07805724,28
ANC_LAS,0.088031225,68
ANC_LAX,0.09575073,322
ANC_LGB,0.09961411,118
ANC_MSP,0.12073248,508
ANC_OGG,0.12911245,40
ANC_OME,0.10201479,301
ANC_ORD,0.26863045,530
ANC_OTZ,0.120835125,491
ANC_PDX,0.06886383,775
ANC_PHX,0.11376702,303
ANC_SCC,0.12364523,536
ANC_SEA,0.090761974,5409
ANC_SFO,0.20426713,155
ANC_SLC,0.07412498,98
APN_DTW,0.1404845,448
ASE_ATL,0.16580938,81
ASE_DEN,0.24250989,915
ASE_DFW,0.3851494,226
ASE_IAH,0.22639158,319
ASE_LAX,0.26260972,634
ASE_MSP,0.21083586,12
ASE_ORD,0.25338516,496
ASE_SFO,0.24303749,160
ATL_ABE,0.18659705,745
ATL_ABQ,0.12010052,644
ATL_ABY,0.2012987,709
ATL_ACY,0.28358465,166
ATL_AEX,0.20290606,994
ATL_AGS,0.18229806,1915
ATL_ALB,0.15185006,762
ATL_ANC,0.16185859,102
ATL_ASE,0.18379164,82
ATL_ATW,0.17594224,348
ATL_AUS,0.16111633,2548
ATL_AVL,0.14750437,1524
ATL_AVP,0.30086577,265
ATL_AZO,0.1473525,19
ATL_BDL,0.113096625,1923
ATL_BHM,0.13336344,2640
ATL_BMI,0.27928993,731
ATL_BNA,0.1305037,2614
ATL_BOS,0.17029285,3725
ATL_BQK,0.17506456,704
ATL_BTR,0.23030955,2037
ATL_BTV,0.27154052,270
ATL_BUF,0.10117892,1292
ATL_BWI,0.16214277,4678
ATL_BZN,0.14781448,73
ATL_CAE,0.1604077,2204
ATL_CAK,0.13295199,1693
ATL_CHA,0.1764361,2206
ATL_CHO,0.17257644,755
ATL_CHS,0.11067634,2607
ATL_CID,0.25677875,754
ATL_CLE,0.1369008,2301
ATL_CLT,0.14127241,5188
ATL_CMH,0.14206763,2653
ATL_COS,0.23325929,249
ATL_CRW,0.19290842,1031
ATL_CSG,0.19794767,883
ATL_CVG,0.13867617,1954
ATL_DAB,0.14197518,1239
ATL_DAL,0.11715203,2274
ATL_DAY,0.13212018,1068
ATL_DCA,0.17112775,5191
ATL_DEN,0.18850452,4021
ATL_DFW,0.15465604,5746
ATL_DHN,0.18008365,1017
ATL_DSM,0.11636982,777
ATL_DTW,0.17400323,3921
ATL_ECP,0.14862704,1694
ATL_EGE,0.16585745,87
ATL_ELM,0.24985859,3
ATL_ELP,0.15864816,552
ATL_EVV,0.1815028,783
ATL_EWN,0.23007704,457
ATL_EWR,0.18743889,4124
ATL_EYW,0.13583907,1156
ATL_FAR,0.186101,27
ATL_FAY,0.16307388,1303
ATL_FCA,0.14992772,25
ATL_FLL,0.1631768,6070
ATL_FNT,0.14468344,780
ATL_FSD,0.2799546,272
ATL_FSM,0.22275351,549
ATL_FWA,0.18501952,838
ATL_GNV,0.21360298,1711
ATL_GPT,0.13535292,1175
ATL_GRB,0.2406079,353
ATL_GRK,0.25098366,485
ATL_GRR,0.106910944,1072
ATL_GSO,0.16329856,2183
ATL_GSP,0.15563805,2028
ATL_GTR,0.1740914,754
ATL_HDN,0.19359556,82
ATL_HNL,0.18813315,271
ATL_HOU,0.16044791,3344
ATL_HPN,0.26251414,1518
ATL_HSV,0.14273281,2017
ATL_IAD,0.16639833,2166
ATL_IAH,0.18705222,3058
ATL_ICT,0.121909566,790
ATL_ILM,0.13617492,1322
ATL_IND,0.16747624,3167
ATL_JAC,0.087808535,91
ATL_JAN,0.13112639,1877
ATL_JAX,0.15595758,4159
ATL_JFK,0.24610937,1523
ATL_LAN,0.2044469,13
ATL_LAS,0.16739756,3282
ATL_LAX,0.17251745,4523
ATL_LEX,0.14447533,1854
ATL_LFT,0.16741641,976
ATL_LGA,0.24130484,6622
ATL_LIT,0.12985829,1626
ATL_LNK,0.2393878,263
ATL_MBS,0.19276422,15
ATL_MCI,0.1525724,2836
ATL_MCO,0.16961947,6611
ATL_MDT,0.12747735,786
ATL_MDW,0.15985522,3663
ATL_MEM,0.14404821,2526
ATL_MGM,0.1938559,1779
ATL_MHT,0.15429913,270
ATL_MIA,0.14188954,4228
ATL_MKE,0.14013286,2590
ATL_MLB,0.144306,1087
ATL_MLI,0.29185197,637
ATL_MLU,0.18806319,973
ATL_MOB,0.18514809,1815
ATL_MSN,0.13166232,730
ATL_MSO,0.19276422,15
ATL_MSP,0.15169103,3881
ATL_MSY,0.1392795,4523
ATL_MTJ,0.1569011,23
ATL_MYR,0.14912371,1239
ATL_OAJ,0.20228864,918
ATL_OAK,0.21576124,2
ATL_OKC,0.14188984,1571
ATL_OMA,0.12332347,1324
ATL_ONT,0.16290207,3
ATL_ORD,0.2323405,5204
ATL_ORF,0.11616359,2173
ATL_PBI,0.1564224,3405
ATL_PDX,0.11385516,900
ATL_PHF,0.19324401,1024
ATL_PHL,0.19082946,5329
ATL_PHX,0.12790011,2996
ATL_PIA,0.16520424,723
ATL_PIT,0.13518189,2656
ATL_PNS,0.14096566,1851
ATL_PVD,0.10782029,766
ATL_PWM,0.14593783,547
ATL_RAP,0.16419278,15
ATL_RDU,0.13370334,3800
ATL_RIC,0.1558243,2924
ATL_ROA,0.16591386,1202
ATL_ROC,0.113127925,791
ATL_RST,0.15189843,268
ATL_RSW,0.142999,3230
ATL_SAN,0.10741533,1672
ATL_SAT,0.14506035,2329
ATL_SAV,0.13749874,2560
ATL_SBN,0.18735844,886
ATL_SCE,0.1822239,28
ATL_SDF,0.1293051,2244
ATL_SEA,0.12641063,2193
ATL_SFO,0.14019372,2596
ATL_SGF,0.17473824,1043
ATL_SHV,0.17703079,1628
ATL_SJC,0.13227811,220
ATL_SJU,0.123628266,1167
ATL_SLC,0.10186343,2098
