RUTA,HORA_SALIDA,RUTA_HORA_rate,RUTA_HORA_n
ABE_ATL,6,0.10788333,265
ABE_ATL,11,0.15333517,24
ABE_ATL,12,0.15918277,192
ABE_ATL,13,0.16290207,3
ABE_ATL,14,0.12911245,40
ABE_ATL,15,0.16419278,15
ABE_ATL,16,0.21902178,198
ABE_ATL,17,0.17841655,1
ABE_DTW,6,0.08699008,207
ABE_DTW,9,0.16368096,9
ABE_DTW,12,0.25645128,57
ABE_DTW,13,0.14952452,92
ABE_DTW,17,0.31845123,221
ABE_ORD,6,0.13275956,189
ABE_ORD,7,0.117280565,29
ABE_ORD,11,0.1886068,90
ABE_ORD,12,0.18354294,44
ABE_ORD,16,0.221517,24
ABE_ORD,17,0.32986242,149
ABI_DFW,5,0.10238652,251
ABI_DFW,6,0.16931987,73
ABI_DFW,7,0.14060652,156
ABI_DFW,8,0.19403158,257
ABI_DFW,9,0.15522893,75
ABI_DFW,10,0.12736547,190
ABI_DFW,11,0.14952853,199
ABI_DFW,12,0.17555653,64
ABI_DFW,14,0.17926008,79
ABI_DFW,15,0.17299546,256
ABI_DFW,16,0.32278115,4
ABI_DFW,17,0.22071008,74
ABI_DFW,18,0.23024604,170
ABI_DFW,21,0.17841655,1
ABQ_ATL,6,0.07305193,264
ABQ_ATL,7,0.18256721,6
ABQ_ATL,8,0.06912587,121
ABQ_ATL,13,0.097973436,253
ABQ_BWI,5,0.09138408,21
ABQ_BWI,6,0.07883723,129
ABQ_BWI,7,0.05854293,44
ABQ_BWI,9,0.17841655,1
ABQ_BWI,11,0.16368096,9
ABQ_BWI,12,0.1498699,5
ABQ_BWI,13,0.1498699,5
ABQ_BWI,14,0.27751482,98
ABQ_BWI,15,0.32224998,63
ABQ_BWI,17,0.26598394,58
ABQ_BWI,18,0.30986992,5
ABQ_CLT,0,0.060238816,92
ABQ_CLT,8,0.20638032,3
ABQ_DAL,5,0.07765875,54
ABQ_DAL,6,0.075785466,135
ABQ_DAL,7,0.07765875,54
ABQ_DAL,8,0.19878972,24
ABQ_DAL,9,0.17953165,51
ABQ_DAL,10,0.06437752,178
ABQ_DAL,11,0.14055724,28
ABQ_DAL,12,0.096284814,102
ABQ_DAL,13,0.35097724,79
ABQ_DAL,14,0.16319627,101
ABQ_DAL,15,0.25888985,64
ABQ_DAL,16,0.37580627,131
ABQ_DAL,17,0.31020176,63
ABQ_DAL,18,0.4194083,70
ABQ_DAL,19,0.38396567,133
ABQ_DAL,20,0.24987954,7
ABQ_DAL,21,0.3498699,5
ABQ_DEN,6,0.08402871,215
ABQ_DEN,7,0.108431965,116
ABQ_DEN,8,0.1326759,61
ABQ_DEN,9,0.15611447,4
ABQ_DEN,10,0.08927023,190
ABQ_DEN,11,0.07274364,59
ABQ_DEN,12,0.22784552,14
ABQ_DEN,13,0.19441664,97
ABQ_DEN,14,0.13876843,7
