AEROLINEA_COMPLETA,ORIGEN_COMPLETO,DESTINO_COMPLETO
AA - American Airlines Inc.,ABQ - Albuquerque International Sunport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,ABQ - Albuquerque International Sunport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,ABQ - Albuquerque International Sunport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,ALB - Albany International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,ANC - Ted Stevens Anchorage International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,ANC - Ted Stevens Anchorage International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,ATL - Hartsfield-Jackson Atlanta International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,ATL - Hartsfield-Jackson Atlanta International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,ATL - Hartsfield-Jackson Atlanta International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,ATL - Hartsfield-Jackson Atlanta International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,ATL - Hartsfield-Jackson Atlanta International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,ATL - Hartsfield-Jackson Atlanta International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,ATL - Hartsfield-Jackson Atlanta International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,JFK - John F. Kennedy International Airport (New York International Airport)
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,AUS - Austin-Bergstrom International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,BDL - Bradley International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,BDL - Bradley International Airport,DCA - Ronald Reagan Washington National Airport
AA - American Airlines Inc.,BDL - Bradley International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,BDL - Bradley International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,BDL - Bradley International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,BHM - Birmingham-Shuttlesworth International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,BNA - Nashville International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,BNA - Nashville International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,BNA - Nashville International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,BNA - Nashville International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,BOI - Boise Airport (Boise Air Terminal),PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,DCA - Ronald Reagan Washington National Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,JFK - John F. Kennedy International Airport (New York International Airport)
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,LAX - Los Angeles International Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,LGA - LaGuardia Airport (Marine Air Terminal)
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,ORD - Chicago O'Hare International Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,PHL - Philadelphia International Airport
AA - American Airlines Inc.,BOS - Gen. Edward Lawrence Logan International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,BUF - Buffalo Niagara International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,BWI - Baltimore-Washington International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,BWI - Baltimore-Washington International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,BWI - Baltimore-Washington International Airport,MIA - Miami International Airport
AA - American Airlines Inc.,BWI - Baltimore-Washington International Airport,PHX - Phoenix Sky Harbor International Airport
AA - American Airlines Inc.,CHS - Charleston International Airport/Charleston AFB,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,CHS - Charleston International Airport/Charleston AFB,PHL - Philadelphia International Airport
AA - American Airlines Inc.,CLE - Cleveland Hopkins International Airport,CLT - Charlotte Douglas International Airport
AA - American Airlines Inc.,CLE - Cleveland Hopkins International Airport,DFW - Dallas/Fort Worth International Airport
AA - American Airlines Inc.,CLE - Cleveland Hopkins International Airport,PHL - Philadelphia International Airport
